1963,0.02,3.83
1964,0.01,4.07
1965,0.02,4.25
1966,0.04,5.11
1967,0.03,5.1
1968,0.05,5.7
1969,0.06,6.93
1970,0.06,7.38
1971,0.03,5.99
1972,0.03,5.98
1973,0.09,6.87
1974,0.12,7.82
1975,0.07,7.78
1976,0.05,7.18
1977,0.07,6.99
1978,0.09,8.32
1979,0.13,9.51
1980,0.13,11.45
1981,0.09,14.25
1982,0.04,13.01
1983,0.04,10.79
1984,0.04,12.26
1985,0.04,10.12
1986,0.01,7.3
1987,0.04,7.94
1988,0.04,8.48
1989,0.05,8.5
1990,0.06,8.37
1991,0.03,7.37
1992,0.03,6.19
1993,0.03,5.14
1994,0.03,6.69
1995,0.03,6.38
1996,0.03,6.18
1997,0.02,6.22
1998,0.02,5.15
1999,0.03,5.55
2000,0.03,6.16
2001,0.02,4.56
2002,0.02,3.82
2003,0.02,2.97
2004,0.03,3.43
2005,0.03,4.05
2006,0.03,4.75
2007,0.04,4.43
2008,0.00,2.8
2009,0.03,2.2
2010,0.02,1.93
2011,0.03,1.52
2012,0.02,0.76
2013,0.02,1.17
2014,0.01,1.64
2015,0.01,1.53
2016,0.02,1.34
2017,0.02,1.91
2018,0.02,2.75
